name_FFB,id_FFB,name_IPNI,id_IPNI,family,genus,species,rank,reference,publication,publicationYear,distribution,bhlLink,remarks,url,citationType,source,doi
Ouratea papulosa,105632,Ouratea papulosa,321093-2,Ochnaceae,Ouratea,papulosa,spec.,Novon 11(1): 110 (fig. 7). 2001 [30 Apr 2001] ,Novon,2001,"S. Cruz de Cabralia, Res. Biol. Pau-Brasil, Bahia (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/642174&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,[Gandhi 23 May 2001],www.ipni.org/n/321093-2,tax_nov,IPNI,NA
Ouratea pendulosepala,105626,Ouratea pendulosepala,302691-2,Ochnaceae,Ouratea,pendulosepala,spec.,"Novon 5: 194, fig. 1995 ",Novon,1995,"Amazonas (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/651722&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/302691-2,tax_nov,IPNI,NA
Ouratea pilgeri,116796,Ouratea pilgeri,177609-2,Ochnaceae,Ouratea,pilgeri,spec.,"Ann. Sci. Nat., Bot. sér. 8, 16: 293. 1902 ","Ann. Sci. Nat., Bot.",1902,Brazil (Southern America),NA,NA,www.ipni.org/n/177609-2,tax_nov,IPNI,NA
Ouratea platicaulis,19933,Ouratea platicaulis,177614-2,Ochnaceae,Ouratea,platicaulis,spec.,"Bull. Jard. Bot. Natl. Belg. 51: 408 (-411), fig. 1981 ",Bull. Jard. Bot. Natl. Belg.,1981,Brazil (Southern America),NA,NA,www.ipni.org/n/177614-2,tax_nov,IPNI,NA
Ouratea poeppigii,86131,Ouratea poeppigii,177618-2,Ochnaceae,Ouratea,poeppigii,spec.,"Ann. Sci. Nat., Bot. sér. 8, 16: 257. 1902 ","Ann. Sci. Nat., Bot.",1902,Brazil (Southern America),NA,NA,www.ipni.org/n/177618-2,tax_nov,IPNI,NA
Ouratea pulchrifolia,86132,Ouratea pulchrifolia,177623-2,Ochnaceae,Ouratea,pulchrifolia,spec.,Arch. Jard. Bot. Rio de Janeiro 5: 165. 1930 ,Arch. Jard. Bot. Rio de Janeiro,1930,"Amazonas (Brazil, Southern America)",NA,NA,www.ipni.org/n/177623-2,tax_nov,IPNI,NA
Ouratea purpuripes,31717,Ouratea purpuripes,177625-2,Ochnaceae,Ouratea,purpuripes,spec.,"Trans. Linn. Soc. London, Bot. ser. 2, 4: 332. 1895 ","Trans. Linn. Soc. London, Bot.",1895,Brazil (Southern America),NA,NA,www.ipni.org/n/177625-2,tax_nov,IPNI,NA
Ouratea racemiformis,86133,Ouratea racemiformis,177628-2,Ochnaceae,Ouratea,racemiformis,spec.,Notizbl. Königl. Bot. Gart. Berlin 6: 335. 1915 ,Notizbl. Königl. Bot. Gart. Berlin,1915,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1915&rft.spage=335&rft.volume=6&rft_id=http://www.biodiversitylibrary.org/bibliography/41384&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/177628-2,tax_nov,IPNI,NA
Ouratea ramiflora,86134,Ouratea ramiflora,281860-2,Ochnaceae,Ouratea,ramiflora,spec.,"Bull. Mus. Natl. Hist. Nat. 4 ser., 10, section B, Adansonia no. 1: 62, fig. 1988 ",Bull. Mus. Natl. Hist. Nat.,1988,Brazil (Southern America),NA,NA,www.ipni.org/n/281860-2,tax_nov,IPNI,NA
Ouratea robusta,606728,Ouratea robusta,77191511-1,Ochnaceae,Ouratea,robusta,spec.,Phytotaxa 373(1): 87. 2018 [23 Oct 2018] [epublished],Phytotaxa,2018,"Sergipe (Brazil Northeast, Brazil, Southern America);Alagoas (Brazil Northeast, Brazil, Southern America);Bahia (Brazil Northeast, Brazil, Southern America);;",NA,doi:10.11646/phytotaxa.373.1.4,www.ipni.org/n/77191511-1,tax_nov,IPNI,https://doi.org/10.11646/phytotaxa.373.1.4
Ouratea rosipes,116719,Ouratea rosipes,177637-2,Ochnaceae,Ouratea,rosipes,spec.,"Trans. Linn. Soc. London, Bot. ser. 2, 4: 333. 1895 ","Trans. Linn. Soc. London, Bot.",1895,Brazil (Southern America),NA,NA,www.ipni.org/n/177637-2,tax_nov,IPNI,NA
Ouratea scandens,105698,Ouratea scandens,177645-2,Ochnaceae,Ouratea,scandens,spec.,Notizbl. Königl. Bot. Gart. Berlin 6: 337. 1915 ,Notizbl. Königl. Bot. Gart. Berlin,1915,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1915&rft.spage=337&rft.volume=6&rft_id=http://www.biodiversitylibrary.org/bibliography/41384&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/177645-2,tax_nov,IPNI,NA
Ouratea septentrionalis,116716,Ouratea septentrionalis,177646-2,Ochnaceae,Ouratea,septentrionalis,spec.,Notizbl. Bot. Gart. Berlin-Dahlem 13: 353. 1936 ,Notizbl. Bot. Gart. Berlin-Dahlem,1936,"Maranhao (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1936&rft.spage=353&rft.volume=13&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/177646-2,tax_nov,IPNI,NA
Ouratea simulans,31721,Ouratea simulans,177647-2,Ochnaceae,Ouratea,simulans,spec.,"Trans. Linn. Soc. London, Bot. ser. 2, 4: 334. 1895 ","Trans. Linn. Soc. London, Bot.",1895,Brazil (Southern America),NA,NA,www.ipni.org/n/177647-2,tax_nov,IPNI,NA
Ouratea undulata,603202,Ouratea undulata,177668-2,Ochnaceae,Ouratea,undulata,spec.,"Ann. Sci. Nat., Bot. sér. 8, 16: 260. 1902 ","Ann. Sci. Nat., Bot.",1902,Brazil (Southern America),NA,NA,www.ipni.org/n/177668-2,tax_nov,IPNI,NA
